epoch,time,train_loss,train_acc,val_loss,val_acc
1,178.17558073997498,1.0135196184410769,0.7365384615384616,0.5754179716110229,0.7384615384615385
2,175.29244184494019,0.5983544395250433,0.7423076923076923,0.6217922687530517,0.7384615384615385
3,174.4396460056305,0.5821726690320408,0.7326923076923076,0.4965237319469452,0.7384615384615385
4,174.64402055740356,0.5801350088680491,0.7384615384615385,0.49358139038085935,0.7384615384615385
5,174.43304109573364,0.5628327657194698,0.7403846153846154,0.5544861197471619,0.7615384615384615
6,173.35356783866882,0.5657440494088566,0.7423076923076923,0.5691268086433411,0.7384615384615385
7,173.7318389415741,0.5415225817876703,0.7423076923076923,0.4990705490112305,0.7384615384615385
8,174.47682690620422,0.558256051119636,0.7538461538461538,0.5429758250713348,0.7538461538461538
9,176.62510585784912,0.6143166624447879,0.7692307692307693,0.5690140008926392,0.7384615384615385
10,174.9624478816986,0.5534005042384652,0.7423076923076923,0.48417580127716064,0.7384615384615385
