epoch,time,train_loss,train_acc,val_loss,val_acc
1,147.0609951019287,0.578751381705789,0.7230769230769231,0.5061417818069458,0.7384615384615385
2,137.61582493782043,0.5445701479911804,0.7423076923076923,0.49677098393440244,0.7384615384615385
3,133.8681981563568,0.5356200495186973,0.7423076923076923,0.5032427549362183,0.7384615384615385
4,134.81371784210205,0.5203415628741769,0.7423076923076923,0.49027149081230165,0.7384615384615385
5,136.72384691238403,0.4996982111650355,0.7538461538461538,0.5093725621700287,0.7692307692307693
6,136.25119733810425,0.5091875738957349,0.7615384615384615,0.4947173595428467,0.7615384615384615
7,137.9305875301361,0.5123493180555456,0.7730769230769231,0.4985746145248413,0.7615384615384615
8,138.21885180473328,0.5126797539346358,0.7692307692307693,0.5054644286632538,0.7384615384615385
9,132.27701449394226,0.4963400083429673,0.7557692307692307,0.5008044004440307,0.7384615384615385
10,130.91302180290222,0.4935631366337047,0.7634615384615384,0.5073553919792175,0.7076923076923077
